Santa Monica College - Grade Distribution Fall 2015,,,,,,,,,,,,,,,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
,,KIN PE 19C,2638,GEE M J,11,,2,2,1,,,,,3,,19
,,,2639,ROQUE E M,21,3,3,,,,,,,5,,32
,,,2640,GARCIA S M,21,2,1,1,,,,,,3,,28
,,,2637,SHICKMAN T D,11,3,,1,2,,,,,5,,22
,,KIN PE 19E,2641,PORTER L A,17,2,1,,,,,,1,4,,25
,,,2642,PORTER L A,19,4,,,,,,,,5,,28
,,KIN PE 21,2643,BARNETT R T,11,,2,4,4,,1,,,2,,24
,,KIN PE 25A,2644,RALSTON L C,9,3,3,,1,,,,1,2,,19
,,KIN PE 25B,2645,RALSTON L C,12,,,,,,,,,1,,13
,,KIN PE 25C,2646,RALSTON L C,4,2,,,,,,,,1,,7
,,KIN PE 34A,2647,BAGHDASARIAN G,16,7,2,,,,,,,3,,28
,,KIN PE 41W,2648,EASTCOTT M B,16,3,,,,,,,,5,,24
,,KIN PE 43A,2649,SANCHEZ C M,26,9,,,1,,,,,1,,37
,,,2650,HEROLD M J,34,3,4,,,,,,,1,,42
,,KIN PE 43C,2651,HEROLD M J,33,1,,,,,,,,4,,38
,,,2652,SANCHEZ C M,34,2,,1,1,,,,,1,,39
,,KIN PE 45C,2653,LENNON G T,10,,2,,,,,,,5,,17
,,KIN PE 46,4285,MOOREHEAD J R,9,,5,,2,,,,,,,16
,,KIN PE 48A,2655,SHIMA T H,32,5,2,,1,,,,,,,40
,,,,,,,,,,,,,,Page 74 of 119,,
Department,Subject,Course,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Kinesiology,KIN PE,KIN PE 48A,2654,CONTARSY S A,30,2,1,,,,,,,7,,40
,,KIN PE 48B,2656,CONTARSY S A,13,,,,,,,,,3,,16
,,,2657,CARTER-AARON L J,,,,,,,,,,4,25,29
,,,2658,CONTARSY S A,13,,1,,,,,,,3,,17
,,,2659,CHAVEZ E C,12,,1,5,,,,,,3,,21
,,KIN PE 48C,2660,CONTARSY S A,12,,,,,,,,,9,,21
,,,2662,CARTER-AARON L J,,,,,,,,,,,12,12
,,,2661,SHIMA T H,13,1,,,,,,,,5,,19
,,KIN PE 48D,2663,CONTARSY S A,12,,,,,,,,,2,,14
,,,2664,SHIMA T H,6,,,,,,,,,2,,8
,,,2665,CARTER-AARON L J,,,,,,,,,,1,9,10
,,KIN PE 53A,2667,LIVSHIN B S,21,2,,,,,,,,,,23
,,KIN PE 53B,2668,LIVSHIN B S,11,1,,,,,,,2,,,14
,,KIN PE 54A,2669,LEMON D R,13,,,,,,,,,,,13
,,,2670,GOLDENSON R M,12,,,,,,,,1,,,13
,,KIN PE 54B,2672,GOLDENSON R M,4,,,,,,,,,1,,5
,,,2671,LEMON D R,9,,,,,,,,,,,9
,,KIN PE 54C,2673,GOLDENSON R M,7,,,,,,,,,2,,9
,,KIN PE 54D,2674,GOLDENSON R M,9,,,,1,,,,,1,,11
,,KIN PE 56A,2675,SILVA L,15,6,1,,1,,,,,7,,30
,,,3591,FISHER JE,8,6,2,2,1,,,,,7,,26
,,KIN PE 57A,2676,ROQUE E M,10,8,3,1,1,,,,,4,,27
,,KIN PE 57B,2677,ROQUE E M,15,2,2,,1,,,,,2,,22
,,KIN PE 57C,2678,METICHECCHIA J H,17,,,,,,,,,1,,18
,,KIN PE 58A,2679,BENNETT J L,20,3,3,,1,,,,,8,,35
,,,,,,,,,,,,,,Page 75 of 119,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Kinesiology,KIN PE,KIN PE 58A,,2680,SANDOVAL H J,22,8,2,,,,,,6,,38,
,,,,2681,PORTER L A,27,1,,,,,,,1,,29,
,,,,2682,HUNER K A,20,4,3,,,,,,1,,28,
,,,,3553,SANDOVAL H J,12,5,,,,,,,2,,19,
,,,,4502,HUNER K A,17,,4,,,1,,1,5,,28,
,,KIN PE 58B,,2683,ROQUE E M,10,4,2,,1,,,,5,,22,
,,,,2684,HUNER K A,14,2,,,1,,,,2,,19,
,,,,2685,BENNETT J L,12,2,1,1,1,,,1,3,,21,
,,KIN PE 58C,,2686,HUNER K A,2,2,,,,,,,,,4,
,,,,2687,BENNETT J L,5,2,,,,1,,,1,,9,
,,,,2688,SANDOVAL H J,12,5,,,1,,,,2,,20,
,,KIN PE 59C,,2689,METICHECCHIA J H,36,2,,,,,,,2,,40,
,,KIN PE 88A,,2690,ROQUE E M,7,1,,,,1,,,1,,10,
,PRO CR,PRO CR,6A,3265,GARCIA S M,2,23,18,14,,,,,4,,61,
,,PRO CR,7,3266,HEROLD M J,23,3,4,,,,,,1,,31,
,,PRO CR 10,,4509,O'FALLON D R,29,8,,,,,,,2,,39,
,,,,3267,SEYMOUR P S,23,13,5,2,2,,,,4,,49,
,,PRO CR 11,,4433,PRITIKIN A,16,13,4,,7,,,,8,,48,
,,PRO CR 12,,3268,SHIMA T H,22,1,1,,6,,,,8,,38,
,,PRO CR 15,,3269,SHICKMAN T D,6,9,1,4,6,1,,,12,,39,
,,PRO CR 19,,3270,ROQUE E M,3,1,1,,,,,,,,5,
Library,LIBR,LIBR,1,2698,WOMACK C Z,19,7,1,1,4,,,,6,,38,
,,,,2699,WOMACK C Z,24,6,1,,5,,,,6,,42,
,,,,2697,PARISE M P,17,2,2,,,,,,3,,24,
,,,,2700,PARISE M P,30,3,2,,,,,,1,,36,
,,,,,,,,,,,,,,Page 76 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Life Science,ANATMY,ANATMY,1,1095,WISSMANN P B,6,2,1,2,6,,1,,13,,31,
,,,,4015,FICKBOHM D J,7,1,5,2,,,,,9,,24,
,,,,4016,FICKBOHM D J,4,6,6,1,3,,,,6,,26,
,,,,4014,RINDEN N S,9,8,3,4,1,,,,5,,30,
,,,,4013,COVITT G S,5,8,9,1,4,,,,6,,33,
,,,,1097,FINK S A,13,7,2,3,3,1,,,3,,32,
,,,,1096,STEPHANOU M L,3,6,9,3,3,,,,9,,33,
,,,,1093,HILL B J,7,6,7,,1,,,,5,,26,
,,,,1092,ZUK P A,7,8,3,1,3,,,,12,,34,
,,,,1091,VALLE A M,5,2,2,3,5,,,,12,,29,
,,,,1090,WISSMANN P B,6,1,2,1,2,,,,12,,24,
,,,,1089,STEPHANOU M L,4,4,4,6,2,,,,12,,32,
,,,,1087,DELL M M,5,5,5,1,3,,,,15,,34,
,,,,1088,HUTCHINSON S C,3,5,4,,5,,,,17,,34,
,,,,1094,HUTCHINSON S C,2,3,2,3,1,,,,20,,31,
,,ANATMY,2,1098,DELL M M,1,4,4,,,,,,2,,11,
,BIOL,BIOL,2,1203,NELSON R E,11,18,12,1,1,,2,1,4,,50,
,,,,3584,AZUMA K K,2,4,3,,3,,,,8,,20,
,,,,1206,HOUGHTON J L,26,6,4,,1,,,3,9,,49,
,,,,1204,AZUMA K K,4,2,11,5,5,,,,13,,40,
,,,,1201,HUTCHINSON S C,6,3,8,4,6,,1,1,16,,45,
,,,,1200,LONDE S P,,4,9,7,5,,,,14,,39,
,,,,1199,ROSTAMI M,20,16,7,,,,,10,3,,56,
,,,,1198,DELL M M,7,4,4,4,5,,,,9,,33,
,,,,1202,SKYDELL J L,8,9,7,8,9,,,,13,,54,
,,,,,,,,,,,,,,Page 77 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Life Science,BIOL,BIOL,2,1205,HOUGHTON J L,21,8,1,2,,,,5,4,,41,
,,BIOL,3,4058,KAY B W,6,8,3,1,4,,,,2,,24,
,,,,1219,NICHOLS L B,8,8,6,3,,,,,4,,29,
,,,,1220,TABBAKHIAN M A,4,14,9,2,1,,1,2,3,,36,
,,,,1221,CHEN T T,2,4,7,1,,,1,,11,,26,
,,,,1222,GARTNER G E,19,4,5,,,,,3,1,,32,
,,,,1223,RAYMER P C,13,5,3,4,,,,1,7,,33,
,,,,4055,CASSANO V P,26,7,1,2,1,,,,,,37,
,,,,4057,CHEN T T,5,7,7,1,1,,,,5,,26,
,,,,1218,NICHOLS L B,4,14,7,1,,,,,3,,29,
,,,,1210,JAYACHANDRAN S,5,12,6,2,6,1,,2,5,,39,
,,,,4056,ROMERO R,8,8,2,2,3,1,1,1,6,,32,
,,,,1209,VON DER OHE C G,13,11,1,,,,,,1,,26,
,,,,1207,KIM-RAJAB O S,6,8,4,1,,,,,7,,26,
,,,,1212,KIM-RAJAB O S,5,7,4,1,,,,2,13,,32,
,,,,1208,BAGHDASARIAN G,3,9,9,3,3,,,,7,,34,
,,,,1217,SPIEGLER M A,3,7,5,2,2,,,,5,,24,
,,,,1211,LE M K,8,9,10,1,3,,,1,1,,33,
,,,,1213,KIM-RAJAB O S,6,6,4,2,6,,1,,6,,31,
,,,,1214,FENNOY S L,5,6,9,3,1,,1,4,4,,33,
,,,,1215,FENNOY S L,8,6,4,2,,,2,1,4,,27,
,,,,1216,SPIEGLER M A,3,8,5,2,5,,,,7,,30,
,,BIOL,9,1230,TOWER J A,7,7,6,2,4,,,1,11,,38,
,,,,1234,MCLAUGHLIN D,5,3,6,1,3,,,2,12,,32,
,,,,1235,MCLAUGHLIN D,4,4,5,1,4,,,1,6,,25,
,,,,,,,,,,,,,,Page 78 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Life Science,BIOL,BIOL,9,1233,SAKURAI D S,3,3,6,3,2,,1,1,16,,35,
,,,,1232,SAKURAI D S,4,5,9,2,1,,1,2,15,,39,
,,,,1224,JORDAN E A,9,5,12,6,7,,,1,4,,44,
,,,,1228,JORDAN E A,3,15,9,1,5,1,1,1,3,,39,
,,,,1227,SMITH LA M,21,3,2,,6,,,2,1,,35,
,,,,1225,SMITH LA M,20,3,6,4,3,,,1,3,,40,
,,,,1226,JORDAN E A,8,14,9,3,1,,3,3,4,,45,
,,,,1229,PRICE W M,7,2,8,,3,,,4,6,,30,
,,BIOL,15,1239,BAGHDASARIAN G,5,5,10,5,3,,1,,,,29,
,,,,1236,TARVYD E S,15,2,6,1,4,,,,3,,31,
,,,,1237,TARVYD E S,12,4,3,,1,,,,6,,26,
,,,,1238,BAGHDASARIAN G,1,7,4,6,6,2,,,6,,32,
,,BIOL,15N,1240,WALL C B,5,6,5,2,5,,,1,7,,31,
,,,,4059,MOSS J L,8,6,4,1,1,,,,3,,23,
,,BIOL,21,1241,SCURIC Z,6,12,5,,1,,,,6,,30,
,,,,1242,NAREY V,2,10,8,,1,,,,6,,27,
,,,,1243,NAREY V,10,10,9,1,1,,,,4,,35,
,,,,4060,CHEN T T,3,8,5,,1,1,,,10,,28,
,,BIOL,22,1244,BOBER M A,5,7,15,2,,,,,9,,38,
,,,,1245,BOBER M A,3,9,9,2,1,,,,14,,38,
,,BIOL,23,1246,BAKER E H,4,6,3,,,,,,5,,18,
,,BIOL,88B,1249,COLAVITO M C,1,,,,,,,,,,1,
,BOTANY,BOTANY,1,1250,BAKER E H,4,5,3,,,,,,11,,23,
,,,,1251,BAKER E H,5,8,4,,,,,,4,,21,
,,,,1252,TOWER J A,4,3,3,3,6,,,,6,,25,
,,,,,,,,,,,,,,Page 79 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Life Science,BOTANY,BOTANY,1,1253,TOWER J A,3,7,3,2,6,,,,8,,29,
,MCRBIO,MCRBIO,1,2874,KLUCKHOHN JONES L,5,11,4,1,1,,,,4,,26,
,,,,,W,,,,,,,,,,,,
,,,,4357,PEPPER E D,8,11,4,,,,,,3,,26,
,,,,2873,BUCHANAN A G,7,10,,,2,,,,2,,21,
,,,,2872,BUCHANAN A G,8,8,4,,,,,,1,,21,
,,,,2871,NAREY V,7,6,2,6,,,,,3,,24,
,MLT,MLT,10,3558,GAGNE C A,2,,,,,,,,,,2,
,NUTR,NUTR,1,3089,STAFSKY G B,26,11,2,3,1,,,,4,,47,
,,,,3091,NOVAK D S,7,6,5,1,3,,,,11,,33,
,,,,4484,ARUSSI J B,5,8,5,3,2,,,,6,,29,
,,,,4395,RICHWINE D R,17,10,8,,1,,,,3,,39,
,,,,4394,ACKERSON A K,7,8,11,5,2,,,,7,,40,
,,,,3092,RICHWINE D R,9,4,5,4,1,,,,12,,35,
,,,,3090,NOVAK D S,12,10,4,2,1,,,,9,,38,
,,,,3082,NOVAK D S,8,8,14,4,,,,,11,,45,
,,,,3087,GONZALEZ C L,7,7,4,1,3,,,1,2,,25,
,,,,3086,ORTEGA Y,18,6,7,2,,,,,7,,40,
,,,,3081,RICHWINE D R,8,12,3,1,4,,,,7,,35,
,,,,3085,ORTEGA Y,18,9,5,2,1,,,,8,,43,
,,,,3088,GONZALEZ C L,6,7,5,1,2,,,,3,,24,
,,,,3084,GONZALEZ C L,10,9,11,4,2,,,,3,,39,
,,,,3083,ORTEGA Y,8,19,17,3,3,,,,,,50,
,,,,3510,ARUSSI J B,4,6,4,1,4,,,,5,,24,
,,NUTR,3,3093,GONZALEZ C L,4,7,2,3,1,,,1,13,,31,
,,,,,,,,,,,,,,Page 80 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Life Science,NUTR,NUTR,7,3095,GONZALEZ C L,7,10,2,3,1,,,,11,,34,
,,,,3094,GONZALEZ C L,8,15,,2,,,,,6,,31,
,,NUTR,4,3096,STAFSKY G B,25,5,3,2,5,,,,1,,41,
,,,,3097,ORTEGA Y,7,15,10,4,3,,,,8,,47,
,,,,3098,ORTEGA Y,13,14,3,6,3,,,,7,,46,
,PHYS,PHYS,3,3199,BOBER M A,8,8,5,,1,,,,3,,25,
,,,,3198,VON DER OHE C G,4,6,5,1,3,,,,5,,24,
,,,,4422,PRICE W M,3,5,6,,,,,,6,,20,
,,,,4421,FRISCIA A R,11,7,6,1,,,,,1,,26,
,,,,3197,VON DER OHE C G,5,9,6,3,,,,,3,,26,
,,,,3196,JOHNSON JA J,12,4,1,2,,,,,2,,21,
,,,,3195,WISSMANN P B,9,5,1,2,,1,,,6,,24,
,,,,3200,STEPHANOU M L,5,7,3,3,,,,,5,,23,
,ZOOL,ZOOL,5,3455,TARVYD E S,5,10,7,3,,,,2,4,,31,
,,,,3456,GARTNER G E,9,7,8,,2,1,,,2,,29,
,,,,3457,GARTNER G E,10,5,8,,,,,2,7,,32,
,,,,3458,MOSS J L,7,7,11,1,3,,,,4,,33,
Mathematics,CS,CS,10,1707,MAZOROW M M,3,2,,,,,,,10,,15,
,MATH,MATH,2,2715,EMERSON A J,5,5,10,5,6,,,,6,,37,
,,,,2717,CARTY B,4,9,4,4,13,,,,9,,43,
,,,,4286,RAMSEY E D,4,12,6,2,6,,,,14,,44,
,,,,4287,NESTLER A E,,2,4,15,,,,,14,,35,
,,,,4288,MALAKAR S R,,5,2,1,6,,,,21,,35,
,,,,4289,MARDIROSIAN R,10,6,5,10,7,,,,9,,47,
,,,,4291,KARKAFI R H,9,2,4,,9,,,,11,,35,
,,,,,,,,,,,,,,Page 81 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Mathematics,MATH,MATH,2,2714,ANTONIOUS M M,6,7,12,1,9,,,,9,,44,
,,,,2713,MCGRAW C K,11,10,4,3,5,,,,11,,44,
,,,,4290,CHAU E,4,3,7,4,7,,,,7,,32,
,,,,2705,MAZOROW M M,3,6,2,8,2,,,,19,,40,
,,,,2712,KAMIN G,5,6,8,3,5,,,,13,,40,
,,,,2716,FINE R F,10,10,6,3,4,,,,12,,45,
,,,,2704,MURRAY D B,2,5,9,5,6,,,,9,,36,
,,,,2706,EDINGER G C,4,5,2,1,2,,1,,8,,23,
,,,,2707,OUELLETTE K R,8,4,4,2,12,,,,10,,40,
,,,,2708,HERICHI H,12,10,4,5,4,,,1,14,,50,
,,,,2709,RODAS B G,6,5,3,2,4,,,,21,,41,
,,,,2710,JIMENEZ B S,3,16,3,2,13,,1,1,11,,50,
,,,,2711,LAI I,7,7,2,1,9,,,,13,,39,
,,,,2703,SASO M,1,6,1,2,3,,,,27,,40,
,,MATH,7,2728,NESTLER A E,1,1,1,13,,,,,17,,33,
,,,,2727,KONYA W,2,2,1,4,8,,,,12,,29,
,,,,4295,BATEMAN M,1,4,12,1,9,,,,14,,41,
,,,,4294,NIKOLAYCHUK A M,1,1,4,1,5,,,,6,,18,
,,,,4293,PACHAS-FLORES W,3,6,2,1,8,,,,21,,41,
,,,,4292,CHENG T T,6,4,3,4,2,,,,14,,33,
,,,,2729,JAHANGARD E,1,4,3,3,7,,,,18,,36,
,,,,4296,KIM J J,12,16,3,2,,,,,6,,39,
,,,,2725,OUELLETTE K R,7,4,10,2,9,,,,7,,39,
,,,,2724,BENE A J,6,12,8,4,5,,,,13,,48,
,,,,2723,BOOSHERI S G,3,6,4,8,2,,,,10,,33,
,,,,,,,,,,,,,,Page 82 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Mathematics,MATH,MATH,7,2721,SMITH S P,15,14,5,3,7,,,,6,,50,
,,,,2720,HONG A M,2,,6,,4,,,,15,,27,
,,,,2719,JIMENEZ B S,4,8,3,4,9,,,,14,,42,
,,,,2718,LEE P H,17,9,4,5,5,,,,2,,42,
,,,,2726,MURRAY D B,6,9,9,4,3,,,,8,,39,
,,,,3576,WONG B L,2,3,2,1,3,,,,11,,22,
,,MATH,8,2731,KONYA W,3,4,5,9,6,,,,16,,43,
,,,,4299,FRY G P,15,7,4,10,,1,,,8,,45,
,,,,4298,ASKARIAN S N,8,4,6,6,8,,,,13,,45,
,,,,4297,NESTLER A E,1,1,2,2,2,,1,,8,,17,
,,,,2734,SOLEYMANI S,11,6,2,3,7,1,,,20,,50,
,,,,2732,HONG A M,3,1,6,4,5,,,,6,,25,
,,,,2730,JIMENEZ B S,8,13,3,2,5,,,,17,,48,
,,,,2733,GRAVES L P,5,6,7,5,1,,,,12,,36,
,,MATH,10,2735,MAZOROW M M,6,4,,,,,,,8,,18,
,,MATH,11,4300,ZAKERI G A,14,12,6,2,4,,,,8,,46,
,,,,2736,HERICHI H,18,16,3,4,2,,,,3,,46,
,,,,2737,HONG A M,2,1,4,2,5,,,,15,,29,
,,,,2738,RODAS B G,7,13,3,,6,,,,12,,41,
,,MATH,13,4301,ASKARIAN S N,7,4,5,6,1,,,,10,,33,
,,,,2739,EDINGER G C,5,2,7,1,4,,,,9,,28,
,,,,2740,JAHANGARD E,7,6,5,2,4,,,,9,,33,
,,MATH,15,2741,KONYA W,6,4,5,1,7,,,,10,,33,
,,,,4302,ZAKERI G A,16,10,5,5,4,,,,7,,47,
,,MATH,18,2746,FINE R F,3,3,14,4,5,,,1,15,,45,
,,,,,,,,,,,,,,Page 83 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Mathematics,MATH,MATH,18,4512,FOREMAN N J,1,10,9,5,6,,1,1,13,,46,
,,,,2747,WARD J E,2,6,15,2,2,,,,16,,43,
,,,,2745,PHUNG Q T,1,1,6,6,5,,1,,7,,27,
,,,,2744,BOOSHERI S G,1,4,10,11,4,,,,13,,43,
,,,,2743,MCDONNELL P L,,,,,,,,,1,45,46,
,,,,2742,CHO M,1,2,6,3,14,,1,,20,,47,
,,,,4303,KARKAFI R H,10,5,9,12,,,,1,10,,47,
,,MATH,20,4305,PACHAS-FLORES W,3,2,6,2,5,,,,23,,41,
,,,,2766,FOREMAN N J,1,9,10,10,4,,,,12,,46,
,,,,2767,OWENS D J,1,4,7,8,4,,,,21,,45,
,,,,2768,RASIEJ R M,4,12,7,2,5,,,,4,,34,
,,,,3600,CHENG T T,5,5,4,2,9,,1,1,16,,43,
,,,,4304,CHITGAR M H,2,8,10,1,4,,,,15,,40,
,,,,2765,LONDON J S,1,3,12,5,10,,,,3,,34,
,,,,4306,WONG J D,7,7,8,5,,1,,1,8,,37,
,,,,4307,MOZAFARI R R,8,9,6,,,,,6,16,,45,
,,,,4309,VENDLINSKI T P,4,11,7,8,3,,,,11,,44,
,,,,2764,PHUA N,1,5,4,5,10,,,,18,,43,
,,,,4312,MARTINEZ M G,5,7,2,,4,,,,13,,31,
,,,,4308,JIANG J,7,11,18,2,3,,1,1,8,,51,
,,,,4313,HARJUNO T,3,2,7,2,14,,1,,21,,50,
,,,,4314,LIAO G,2,3,11,1,8,,,,13,,38,
,,,,4311,HUANG C Y,8,7,6,2,7,,,,6,,36,
,,,,2754,MIANO I A,4,12,10,3,7,,,4,3,,43,
,,,,2763,BASKAUSKAS V A,3,5,15,9,3,,1,,12,,48,
,,,,,,,,,,,,,,Page 84 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Mathematics,MATH,MATH,20,4310,YAN S K,5,11,17,7,1,,,1,5,,47,
,,,,2748,QUEVEDO J M,1,1,2,2,7,,,1,18,,32,
,,,,2749,LEE P H,,5,11,14,,,,,11,,41,
,,,,2750,SIMPSON-RODGERS N,3,,9,4,10,,1,,18,,45,
,,,,2751,LEE K H,6,9,13,8,,2,,,2,,40,
,,,,2753,BOOSHERI S G,3,3,9,14,6,,,,10,,45,
,,,,2755,FOSTER M,3,2,2,6,10,,1,1,19,,44,
,,,,2756,LONDON J S,2,1,4,1,12,,1,,3,,24,
,,,,2757,MURRAY D B,2,6,11,6,1,,1,1,11,,39,
,,,,2758,GHARAMANIANS J,6,5,2,3,5,,2,2,17,,42,
,,,,2759,DEAN C R,10,25,6,2,3,,1,2,1,,50,
,,,,2760,CHO M,2,5,2,2,10,,,,21,,42,
,,,,2761,YANKEY K A,4,12,20,2,,3,,,6,,47,
,,,,2762,FOSTER M,1,2,9,6,15,,,,7,,40,
,,,,2752,CHEN C,5,4,6,3,2,,,1,18,,39,
,,MATH,21,2776,HARANDIAN R,11,5,7,2,4,,,1,3,,33,
,,,,2774,GRAVES L P,2,1,6,4,12,,,,14,,39,
,,,,4315,KIM J J,10,10,2,3,6,,,,7,,38,
,,,,2775,WANG J D,7,5,7,7,3,,,,6,,35,
,,,,2772,SIMHAN S V,3,3,5,4,13,,,,12,,40,
,,,,2771,HARANDIAN R,,6,5,5,3,,,,12,,31,
,,,,2770,EMERSON A J,8,3,6,8,7,1,1,,10,,44,
,,,,2769,GHARAMANIANS J,9,5,3,1,7,,1,,10,,36,
,,,,4316,MOZAFARI R R,8,10,11,2,2,,,,6,,39,
,,,,2773,LEE K H,6,12,8,8,,3,,,4,,41,
,,,,,,,,,,,,,,Page 85 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Mathematics,MATH,MATH,26,2777,BAYSSA B T,6,11,7,3,3,,,,15,,45,
,,,,2778,CHAN H J,4,8,7,3,7,,,,11,,40,
,,,,2779,SASO M,10,6,2,5,7,1,1,,9,,41,
,,,,2780,SMITH S P,9,5,11,11,,,,,12,,48,
,,,,2781,KAMIN G,7,4,8,3,1,,,,10,,33,
,,,,4317,HARJUNO T,1,7,5,3,7,,,,23,,46,
,,MATH,28,2783,KONYA W,1,3,8,4,8,,,,21,,45,
,,,,4318,KAVIANI K,5,11,12,1,6,,,,8,,43,
,,,,2782,RODAS B G,2,6,4,1,1,,,,23,,37,
,,MATH,29,3577,WONG B L,1,7,4,3,1,1,,,1,,18,
,,MATH,31,2798,LEE L S,7,12,16,5,2,,,,3,,45,
,,,,4325,BELLIN E H,14,12,8,,4,,,,1,,39,
,,,,4324,SHEYNSHTEYN A S,4,5,5,10,3,,,,12,,39,
,,,,4323,OWAKA E A,4,6,7,6,13,,,1,6,,43,
,,,,2788,JIMENEZ B S,3,5,5,6,7,,2,2,12,,42,
,,,,4322,EVINYAN Z,8,4,12,,5,,,,11,,40,
,,,,4326,AKA D O,6,5,11,2,8,,1,,9,,42,
,,,,4321,ENGLAND A M,3,4,1,4,18,,,,10,,40,
,,,,4320,TADELE G T,2,3,10,3,6,,,,19,,43,
,,,,4319,SAAKIAN L,4,5,7,4,3,,,,18,,41,
,,,,2801,BRESLOFF J L,1,6,6,4,9,,1,,19,,46,
,,,,2800,ORTEGA J A,,2,5,7,12,,1,,18,,45,
,,,,2799,BRONIE B L,5,4,3,9,4,,,,16,,41,
,,,,2789,PHUNG Q T,1,1,9,3,12,,,,11,,37,
,,,,2797,LAN H,7,6,5,3,13,,,,14,,48,
,,,,,,,,,,,,,,Page 86 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Mathematics,MATH,MATH,31,2790,BOOSHERI S G,3,4,5,13,3,,1,,6,,35,
,,,,2785,PHUNG Q T,,2,6,2,6,,,1,18,,35,
,,,,2787,LOPEZ MA,1,6,2,10,10,,,,6,,35,
,,,,2791,EMERSON A J,5,4,5,9,10,2,2,,11,,48,
,,,,2792,WARD J E,2,2,6,5,8,,1,,21,,45,
,,,,2793,SCOTT R H,7,22,8,4,4,,,,5,,50,
,,,,2794,OUELLETTE K R,5,6,4,9,9,,,,9,,42,
,,,,2795,HERICHI H,4,7,8,5,7,,,3,12,,46,
,,,,2796,HE F Y,5,8,5,2,10,,,,12,,42,
,,,,2786,QUEVEDO J M,2,,8,7,6,,1,,12,,36,
,,MATH,32,4328,MAN S,4,4,6,9,5,,1,1,16,,46,
,,,,2808,MARDIROSIAN R,12,7,9,6,9,,1,,5,,49,
,,,,4329,HECHT S E,5,14,12,8,9,,,,8,,56,
,,,,4327,PEREZ R E,13,8,8,1,,,,,2,,32,
,,,,3596,MAN S,2,4,2,5,4,,,1,16,,34,
,,,,2806,GIZAW A,6,6,8,7,3,1,,,11,,42,
,,,,2805,MIANO I A,11,7,9,2,9,,,1,6,,45,
,,,,2804,ANTONIOUS M M,5,4,6,1,15,,,,9,,40,
,,,,4513,HUANG C Y,12,5,9,3,1,3,,1,3,,37,
,,,,2803,LAI I,6,8,7,1,7,,1,,21,,51,
,,,,2807,TRAN C D,3,12,6,4,6,,1,,8,,40,
,,,,2802,XU M N,4,5,8,4,7,,1,,7,,36,
,,MATH,41,4330,PEREZ-FERNANDEZ L,6,2,1,,1,,,,1,,11,
,,MATH,49,2810,LOPEZ MA,,2,5,7,5,,2,,14,,35,
,,,,2811,NGUYEN D T,2,8,7,2,8,,4,2,13,,46,
,,,,,,,,,,,,,,Page 87 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Mathematics,MATH,MATH,49,2809,MAZOROW M M,2,6,10,11,7,,1,,11,,48,
,,,,3528,SAFII S,16,15,6,1,4,,,,2,,44,
,,MATH,54,4338,MALAKAR S R,3,2,6,2,16,,,,15,,44,
,,,,4331,JAHANGARD E,2,1,3,1,5,,,,21,,33,
,,,,2830,BASKAUSKAS V A,3,8,18,5,4,,,,9,,47,
,,,,2831,NGUYEN D T,5,5,7,3,8,,,,18,,46,
,,,,2829,VENDLINSKI T P,14,11,7,7,1,,,,5,,45,
,,,,2832,JAHANGARD E,2,4,5,1,8,,,,17,,37,
,,,,3491,RASIEJ R M,7,3,5,11,,,,,20,,46,
,,,,3597,XU M N,4,10,7,3,2,,,1,11,,38,
,,,,4332,MARTINEZ M G,21,10,1,1,,,,,11,,44,
,,,,4333,AGASSI N,8,2,3,1,3,,,,2,,19,
,,,,4334,WALKER C W,17,16,5,1,3,,,,2,,44,
,,,,4335,YANKEY K A,4,6,30,,2,1,,,5,,48,
,,,,4337,PEREZ R E,24,13,3,3,2,,,,,,45,
